distrito,seccion,Total,PSOE,CHA,IU,PP,PAR,PODEMOS,CIUDADANOS
5,009,534,51,11,18,99,17,77,52
5,010,474,67,12,13,70,11,51,21
5,010,510,61,20,14,82,14,68,15
5,011,662,82,17,25,110,18,90,33
5,012,653,108,27,20,114,25,91,34
5,012,697,127,21,32,113,24,101,38
5,013,499,70,22,19,62,19,63,31
5,013,580,78,26,17,69,11,92,37
5,014,549,54,9,4,156,23,64,65
5,014,604,48,16,13,163,16,50,61
5,015,446,65,19,11,82,15,66,15
5,015,517,74,19,12,61,14,88,21
5,016,587,105,18,15,54,19,71,18
5,017,536,66,12,23,69,11,82,32
5,018,721,100,25,32,135,30,115,48
5,019,580,85,23,12,76,10,118,32
5,019,585,61,31,21,83,11,76,33
5,020,483,63,18,18,52,10,89,25
5,020,540,82,19,24,57,7,90,31
5,021,663,93,26,33,106,9,84,39
5,022,605,69,19,22,73,13,100,44
5,022,674,71,24,28,88,9,117,41
5,023,486,51,17,19,55,8,74,17
5,023,500,56,13,10,79,15,69,20
5,024,662,67,21,29,118,10,76,36
5,025,408,48,9,10,56,12,68,19
5,025,461,40,10,9,73,11,83,30
5,026,453,48,9,11,116,15,61,40
5,026,498,38,17,10,124,13,78,39
5,027,772,85,19,17,139,11,112,72
5,028,567,37,14,13,147,12,69,40
5,028,545,56,19,6,177,10,62,34
5,030,447,32,6,11,122,9,62,29
5,030,440,32,8,9,114,14,53,26
5,031,542,55,11,23,131,18,64,36
5,031,590,66,13,18,119,8,74,35
5,032,693,73,27,33,128,12,115,36
5,033,594,79,20,15,109,10,87,42
5,033,574,67,19,18,100,14,99,38
5,034,739,66,16,31,176,33,95,60
5,034,661,54,14,20,171,12,102,59
5,036,540,76,23,14,58,13,85,36
5,036,588,81,27,18,62,7,107,35
5,037,436,28,16,14,49,13,66,32
5,037,428,51,11,22,47,5,78,19
5,038,744,77,25,27,101,14,120,46
5,039,462,56,22,16,52,6,71,21
5,039,467,66,7,20,54,8,68,13
5,040,440,62,15,16,54,12,90,20
5,040,526,73,16,18,83,9,77,29
5,041,536,61,15,18,98,7,85,22
5,041,464,49,14,17,85,10,74,22
5,042,532,58,15,21,45,6,93,30
5,042,569,74,19,15,58,8,122,23
5,043,586,89,23,21,79,13,75,39
5,043,614,90,32,20,77,11,97,38
5,044,626,91,24,12,80,20,96,38
5,044,692,106,19,21,96,17,113,34
5,045,458,68,16,17,56,14,72,29
5,045,486,64,22,13,57,29,87,22
5,046,822,104,27,34,108,17,136,45
5,047,673,63,15,22,99,10,101,39
5,047,758,83,25,37,111,20,133,51
5,048,436,63,19,14,56,12,62,30
5,048,466,61,9,12,78,16,80,35
5,049,745,86,33,26,95,20,107,38
5,050,655,80,16,16,156,15,88,38
6,001,444,44,11,9,118,15,66,28
6,001,458,54,10,12,128,13,53,28
6,002,657,77,12,17,138,20,86,54
6,003,617,90,23,14,104,21,88,28
6,003,688,94,35,15,93,17,109,32
6,004,511,73,16,34,64,8,71,33
6,004,590,91,22,33,72,15,87,33
6,005,618,87,23,19,92,24,108,50
6,005,584,75,24,19,80,25,97,36
6,006,531,94,20,23,99,11,77,23
6,007,687,94,28,25,71,21,120,26
6,008,422,63,17,25,58,12,89,19
6,008,421,51,16,17,75,12,85,25
6,009,423,85,15,22,53,14,59,16
6,009,461,100,21,16,59,23,57,22
6,010,532,66,14,20,62,16,89,33
6,010,568,57,16,28,86,12,107,38
6,010,584,68,15,17,85,19,87,28
6,011,818,127,39,16,148,29,115,47
6,013,540,90,29,10,59,11,75,23
6,014,751,139,39,24,97,10,133,0
6,015,547,108,14,8,50,7,86,19
