 Municipio, Mesa, Censo, Censo total, Votos_electores, Votos_interventores, Votos_totales, Votos_nulos, Votos_blancos, P.S.O.E., F.I.A., CHA, EB, BAR, I.U., P.P., P.C.P.E., PACMA, UPyD, COMPROMISO CON ARAGON, PAR, PODEMOS, EQUO, C`s, RECORTES CERO
 Brea de Arag?, 1-001 -B, 585.0, 585.0, 421.0, 1.0, 422.0, 10.0, 12.0, 90.0, 2.0, 23.0, 0.0, 0.0, 8.0, 149.0, 0.0, 1.0, 1.0, 0.0, 57.0, 49.0, 0.0, 19.0, 1.0
 Bubierca, 1-001 -U, 76.0, 76.0, 56.0, 0.0, 56.0, 0.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 36.0, 5.0, 0.0, 3.0, 0.0
 Bujaraloz, 1-001 -A, 393.0, 393.0, 300.0, 0.0, 300.0, 1.0, 6.0, 101.0, 0.0, 8.0, 3.0, 0.0, 7.0, 63.0, 0.0, 2.0, 0.0, 1.0, 74.0, 25.0, 0.0, 9.0, 0.0
 Bujaraloz, 1-001 -B, 390.0, 390.0, 302.0, 0.0, 302.0, 8.0, 7.0, 119.0, 0.0, 10.0, 0.0, 0.0, 4.0, 43.0, 0.0, 0.0, 0.0, 0.0, 75.0, 23.0, 0.0, 13.0, 0.0
 Bulbuente, 1-001 -U, 179.0, 179.0, 142.0, 0.0, 142.0, 1.0, 4.0, 20.0, 0.0, 5.0, 1.0, 0.0, 3.0, 55.0, 0.0, 1.0, 1.0, 4.0, 5.0, 36.0, 0.0, 6.0, 0.0
 Bureta, 1-001 -U, 213.0, 213.0, 191.0, 0.0, 191.0, 7.0, 4.0, 62.0, 0.0, 3.0, 0.0, 0.0, 3.0, 77.0, 0.0, 3.0, 0.0, 0.0, 9.0, 16.0, 0.0, 7.0, 0.0
 Caba?s de Ebro, 1-001 -U, 453.0, 453.0, 387.0, 0.0, 387.0, 2.0, 9.0, 128.0, 0.0, 11.0, 1.0, 0.0, 12.0, 149.0, 1.0, 0.0, 1.0, 0.0, 10.0, 54.0, 0.0, 9.0, 0.0
 Cabolafuente, 1-001 -U, 55.0, 55.0, 41.0, 0.0, 41.0, 0.0, 3.0, 12.0, 0.0, 0.0, 0.0, 0.0, 2.0, 7.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 0.0, 3.0, 0.0
 Cadrete, 1-001 -A, 757.0, 757.0, 522.0, 0.0, 522.0, 2.0, 13.0, 51.0, 0.0, 14.0, 4.0, 0.0, 14.0, 153.0, 0.0, 9.0, 2.0, 0.0, 97.0, 123.0, 0.0, 39.0, 1.0
 Cadrete, 1-001 -B, 778.0, 778.0, 546.0, 0.0, 546.0, 11.0, 8.0, 42.0, 1.0, 25.0, 8.0, 0.0, 16.0, 160.0, 1.0, 7.0, 4.0, 0.0, 85.0, 117.0, 0.0, 61.0, 0.0
 Cadrete, 1-002 -A, 486.0, 486.0, 342.0, 0.0, 342.0, 7.0, 9.0, 27.0, 1.0, 9.0, 5.0, 1.0, 5.0, 123.0, 0.0, 3.0, 2.0, 0.0, 39.0, 70.0, 0.0, 41.0, 0.0
 Cadrete, 1-002 -B, 554.0, 554.0, 346.0, 0.0, 346.0, 4.0, 4.0, 30.0, 0.0, 15.0, 1.0, 0.0, 13.0, 111.0, 0.0, 4.0, 3.0, 0.0, 45.0, 69.0, 1.0, 46.0, 0.0
 Calatayud, 1-001 -A, 530.0, 530.0, 336.0, 0.0, 336.0, 3.0, 11.0, 74.0, 0.0, 17.0, 3.0, 1.0, 9.0, 82.0, 0.0, 2.0, 1.0, 0.0, 38.0, 63.0, 0.0, 32.0, 0.0
 Calatayud, 1-001 -B, 496.0, 496.0, 322.0, 0.0, 322.0, 5.0, 8.0, 69.0, 0.0, 17.0, 2.0, 0.0, 12.0, 79.0, 0.0, 2.0, 1.0, 1.0, 40.0, 47.0, 1.0, 38.0, 0.0
 Calatayud, 1-002 -A, 458.0, 458.0, 329.0, 0.0, 329.0, 7.0, 11.0, 52.0, 0.0, 11.0, 0.0, 0.0, 6.0, 125.0, 0.0, 2.0, 4.0, 0.0, 33.0, 44.0, 1.0, 32.0, 1.0
 Calatayud, 1-002 -B, 489.0, 489.0, 347.0, 0.0, 347.0, 8.0, 5.0, 70.0, 0.0, 10.0, 2.0, 0.0, 6.0, 124.0, 0.0, 2.0, 1.0, 0.0, 22.0, 64.0, 0.0, 33.0, 0.0
 Calatayud, 1-003 -A, 485.0, 485.0, 351.0, 0.0, 351.0, 9.0, 7.0, 51.0, 0.0, 9.0, 0.0, 0.0, 6.0, 133.0, 0.0, 3.0, 0.0, 0.0, 41.0, 61.0, 0.0, 30.0, 1.0
 Calatayud, 1-003 -B, 578.0, 578.0, 408.0, 0.0, 408.0, 6.0, 10.0, 54.0, 0.0, 12.0, 3.0, 0.0, 10.0, 162.0, 0.0, 2.0, 0.0, 0.0, 39.0, 68.0, 1.0, 41.0, 0.0
 Calatayud, 1-004 -A, 757.0, 757.0, 518.0, 0.0, 518.0, 14.0, 12.0, 123.0, 0.0, 24.0, 0.0, 0.0, 16.0, 128.0, 1.0, 3.0, 2.0, 0.0, 60.0, 80.0, 2.0, 52.0, 1.0
 Calatayud, 1-004 -B, 694.0, 694.0, 451.0, 0.0, 451.0, 13.0, 6.0, 92.0, 0.0, 24.0, 1.0, 0.0, 6.0, 124.0, 0.0, 4.0, 4.0, 1.0, 35.0, 83.0, 2.0, 55.0, 1.0
 Calatayud, 1-005 -A, 613.0, 613.0, 402.0, 0.0, 402.0, 4.0, 8.0, 86.0, 0.0, 16.0, 1.0, 0.0, 5.0, 149.0, 0.0, 3.0, 4.0, 2.0, 27.0, 61.0, 1.0, 35.0, 0.0
 Calatayud, 1-005 -B, 547.0, 547.0, 388.0, 0.0, 388.0, 4.0, 10.0, 77.0, 0.0, 16.0, 4.0, 0.0, 8.0, 129.0, 0.0, 1.0, 3.0, 0.0, 29.0, 64.0, 0.0, 41.0, 2.0
